
Município;Código;Gentílico;Prefeito2021;ÁreaTerritorialkm2_2022;PopulaçãoResidentepessoas2022;Densidadedemográficahab_km2_2022;Escolarizaçã 6_14anosporcentagem2010;IDHM2010;Mortalidadeinfantilóbitospormilnascidosvivos2022;Totalreceitasbrutasrealizadasreais2023;Totaldespesasbrutasempenhadasreais2023;PIBpercapitareais2021
Independência;2305605;independenciano;JOSE VALDI COUTINHO;3222.381;24024;7.46;97.6;0.632;23.73;101250414.12;99229212.81;11712.06
Ipaporanga;2305654;ipaporanguense;ANTONIO AMARO PEREIRA OLIVEIRA;704.773;11575;16.42;97.2;0.579;22.56;65002441.51;61217869.97;9841.12
Ipaumirim;2305704;ipaumirinense;WILSON ALVES DE FREITAS;276.508;12083;43.7;96.7;0.606;25;59362381.56;55879363.77;11469.63
Ipu;2305803;ipuense;ROBERIO WAGNER MARTINS MOREIRA;626.049;41081;65.62;97.3;0.618;12.87;200779083;186753937.3;12333.79
Ipueiras;2305902;ipueirense;FRANCISCO SOUTO DE VASCONCELOS JÚNIOR;1483.258;36798;24.81;98.1;0.573;8.85;167866879.48;166746313.2;8620.09
Iracema;2306009;iracemense;CELSO GOMES DA SILVA NETO;839.174;14001;16.68;98;0.652;7.41;78137298.38;74945235.82;13607.57
Irauçuba;2306108;irauçubense;PATRÍCIA MARIA SANTOS BARRETO;1466.412;23915;16.31;95.2;0.605;6.06;136756770.98;116877682.8;9009.98
Itaiçaba;2306207;itaiçabense;FRANK GOMES FREITAS;213.604;7536;35.28;99.5;0.656;14.71;43255779.26;41472823.68;10482.61
Itaitinga;2306256;Itaitinguense;PAULO CESAR FEITOSA ARRAIS;153.686;64650;420.66;91.4;0.626;10.2;281428167.13;264092827.4;32560.63
Itapajé;2306306;itapajeense;MARIA GORETE BARROSO MAGALHAES CAETANO;432.188;46426;107.42;97.1;0.623;17.92;205110765.57;215552442.2;11124.48
Itapipoca;2306405;itapipoquense;FELIPE SOUZA PINHEIRO;1600.358;131123;81.93;97.9;0.64;8.8;698085995.2;637146326.9;13547.33
Itapiúna;2306504;itapiunense;FRANCISCO DÁRIO DE OLIVEIRA COELHO;593.231;17841;30.07;95.3;0.604;21.98;91449241.3;91730204.93;8246.45
Itarema;2306553;itaremense;ELIZEU CHARLES MONTEIRO;714.833;42957;60.09;96.6;0.606;11.08;244170338.47;190636495.9;18001.79
Itatira;2306603;itatirense;JOSÉ FERREIRA MATEUS;829.626;20424;24.62;97.6;0.562;16.19;149709334.02;141064658.1;7903.96
Jaguaretama;2306702;jaguaretamense;FRANCISCO GLAIRTON RABELO CUNHA;1826.826;17232;9.43;96.7;0.612;;106991917.16;98906313.46;12498.97
Jaguaribara;2306801;jaguaribarense;JOACY ALVES DOS SANTOS JUNIOR;622.963;10356;16.62;97.4;0.618;8.2;74383604.63;68263926.3;13298.99
Jaguaribe;2306900;jaguaribano;ALEXANDRE GOMES DIOGENES;1877.062;33726;17.97;96.4;0.621;13.62;206180658.69;192677003.2;16222.68
Jaguaruana;2307007;jaguaruanense;JOSE ELIAS DE OLIVEIRA;854.362;31701;37.1;98.4;0.624;9.87;140913845.9;152144578.1;16694.97
Jardim;2307106;jardinense;ANIZIARIO JORGE COSTA;544.98;27411;50.3;98.4;0.614;19.89;114595490.62;113310101;10819.64
Jati;2307205;jatiense;MONICA ROSANY PEREIRA MARIANO;368.359;7861;21.34;98.1;0.651;;46701543.84;44354529.15;15917.63
Jijoca de Jericoacoara;2307254;jijoquense;LINDBERGH MARTINS;209.029;25555;122.26;98.8;0.652;5.09;183857097.84;168753894.6;27106.16
Juazeiro do Norte;2307304;juazeirense;GLÊDSON LIMA BEZERRA;258.788;286120;1105.62;97.3;0.694;12.11;976313944.48;913803631.2;18381.08
Jucás;2307403;jucaense;JOSE EDSONRIVA SOUZA CUNHA;940.336;23922;25.44;97.5;0.598;6.73;129279391.09;119305089.5;12801.05
Lavras da Mangabeira;2307502;lavrense ou lavraense;RONALDO PEDROSA LIMA;945.263;30802;32.59;97.2;0.613;6.97;124375825.67;120857518.2;10906.84
Limoeiro do Norte;2307601;limoeirense;JOSÉ MARIA DE OLIVEIRA LUCENA;744.525;59560;80;98;0.682;28.65;241056891.87;237193643.3;23631.38
Madalena;2307635;madalenense;MARIA SÔNIA DE OLIVEIRA COSTA;997.781;16896;16.93;98.3;0.61;16.85;94578780.38;89876779.05;8728
Maracanaú;2307650;maracanauense;ROBERTO SOARES PESSOA;105.071;234509;2231.91;97.4;0.686;8.2;1380361382.71;1380756309;53410.24
Maranguape;2307700;maranguapense;ATILA CORDEIRO CAMARA;583.505;105093;180.11;94.9;0.659;7.57;399756588.17;399359052.4;12527.08
Marco;2307809;marquense;ROGER NEVES AGUIAR;573.61;25799;44.98;97.4;0.612;7.55;141656471.6;136184612.2;14052.51
Martinópole;2307908;martinolopolitano ou martinolopense;FRANCISCO EDIBERTO DE SOUZA;303.445;10846;35.74;97.8;0.599;5.26;69922008.62;63508931.73;8444.53
Massapê;2308005;massapeense;ALINE AGUIAR ALBUQUERQUE;567.78;37697;66.39;98.3;0.616;11.67;172814083.43;165308655.1;9626.56
Mauriti;2308104;mauritiense;ISAAC GOMES DA SILVA JUNIOR;1079.011;45561;42.22;98.1;0.605;15.04;189850547.82;177902895.1;10698.7
Meruoca;2308203;meruoquense;JOSÉ HERTON ALVES DE SOUSA;151.651;15157;99.95;97.8;0.618;5.75;89332707.21;82963953.67;8445.56
Milagres;2308302;milagrense;CÍCERO ALVES DE FIGUEIREDO;579.097;25900;44.72;96.2;0.628;8.5;127610012.65;107147705;10477.64
Milhã;2308351;milhaense;LUIZ ALAN PINHEIRO MACÊDO;502.137;14123;28.13;97.5;0.626;;79597032.69;71797596.31;14874.7
Miraíma;2308377;miraimense;ANTONIO EDNARDO BRAGA LIMA FILHO;708.678;14196;20.03;98.6;0.592;;70279402.12;64788002.58;8062.95
Missão Velha;2308401;missãovelhense;LUIZ ROSEMBERG DANTAS MACÊDO FILHO;613.317;36822;60.04;96.8;0.622;3.54;148483348.31;138350096.4;14506.46
Mombaça;2308500;mombacense;ORLANDO BENEVIDES CAVALCANTE FILHO;2115.748;37735;17.84;96.4;0.582;13.95;181894412.72;163624014.2;10174.82
Monsenhor Tabosa;2308609;taboense;FRANCISCO SALOMÃO DE ARAÚJO SOUSA;892.538;17149;19.21;99.2;0.61;10.58;110826486.35;100034320.5;9308.34
Morada Nova;2308708;moradanovense;JOSÉ VANDERLEY NOGUEIRA;2763.971;61443;22.23;97.6;0.61;8.75;271904432.36;289597841.3;20731.68
Moraújo;2308807;moraujense;CARLOS ÁQUILA CUNHA DE QUEIROZ;414.446;8254;19.92;97.4;0.581;17.54;49355921.98;43846309.21;8555.95
Morrinhos;2308906;morrinhense;JERONIMO NETO BRANDÃO;411.586;22753;55.28;95.1;0.588;9.09;97571599.71;101785036.2;8462.73
Mucambo;2309003;mucambense;FRANCISCO DAS CHAGAS PARENTE AGUIAR;192.19;13666;71.11;98.6;0.607;5.38;82028663.62;85857453.06;9016.67
Mulungu;2309102;mulunguense;ROBERT VIANA LEITÃO;97.951;10569;107.9;96.9;0.607;8.62;59584845.28;53058519.63;11197.64
Nova Olinda;2309201;novaolindense;ÍTALO BRITO ALENCAR ALVES;282.584;15399;54.49;97.3;0.625;8.85;85304063.17;74271492.86;10341.85
Nova Russas;2309300;novarussano;GIORDANNA SILVA BRAGA MANO;736.911;30699;41.66;98;0.614;5.92;201398812.37;179147893.7;10371.24
Novo Oriente;2309409;novorientense;JESUINO RODRIGUES DE SAMPAIO NETO;947.44;27545;29.07;97.9;0.605;9.62;178948964.73;169606312.4;9854.38
Ocara;2309458;ocarense;AMALIA LOPES DE SOUSA;763.075;24493;32.1;98.2;0.594;36.73;119041248.55;106529485.7;10972.95
Orós;2309508;oroense;JOSÉ RUBENS LIMA VERDE;577.526;19675;34.07;97.4;0.636;9.01;100547347.64;93997787.82;10256.74
Pacajus;2309607;pacajuense;BRUNO PEREIRA FIGUEIREDO;250.304;70983;283.59;98.2;0.659;6.75;271337890.05;270191909.3;18349.45
Pacatuba;2309706;pacatubano;CARLOMANO GOMES MARQUES;133.236;81524;611.88;94.6;0.675;14.3;294691906.75;303541538;14421.49
Pacoti;2309805;pacotiense;MARCOS VENICIOS NORJOSA GONZAGA;112.433;11186;99.49;96.5;0.635;8.13;67652712.28;64231695.21;12049.56
Pacujá;2309904;pacujaense;RAIMUNDO RODRIGUES DE SOUSA FILHO;88.355;6175;69.89;98.5;0.621;;52624329.52;50932536.17;9130.3
Palhano;2310001;palhanense;IVANILDO NUNES DA SILVA;436.98;9346;21.39;98.1;0.638;20.41;51130882.97;49120236.09;10443.35
Palmácia;2310100;palmaciano;DAVID CAMPOS MARTINS;128.896;10242;79.46;91.7;0.622;12.2;62495019.02;58743549.67;8494.35
Paracuru;2310209;paracuruense;WEMBLEY GOMES COSTA;304.734;38980;127.91;97.2;0.637;16.67;169499750.73;167980418;15648.56
Paraipaba;2310258;paraipabense;ARIANA CORDEIRO FAÇANHA DE AQUINO;289.231;32216;111.39;97.8;0.634;8.91;184231233.22;164347573.4;16102.82
Parambu;2310308;parambuense;ROMULO MATEUS NORONHA;2313.868;31445;13.59;96.6;0.57;13.45;158282562.47;132405931.4;9196.54
Paramoti;2310407;paramotiense;ANTONIA TELVÂNIA FERREIRA BRAZ;539.238;10384;19.26;98.7;0.583;8.26;57232127.86;54231833.84;9034.57
Pedra Branca;2310506;pedrabranquense;MATHEUS PEREIRA MENDES;1302.081;40187;30.86;98.1;0.603;17.33;188919397.3;173548783;8992.69
Penaforte;2310605;penafortense;RAFAEL FERREIRA ANGELO;150.536;8972;59.6;96.7;0.646;7.63;50105031.12;48521161.97;13268.38
Pentecoste;2310704;pentecostense;JOÃO BOSCO PESSOA TABOSA;1379.836;37813;27.4;97.3;0.629;13.76;172534928.76;148486099.2;12741.76
Pereiro;2310803;pereirense;RAIMUNDO ESTEVAM NETO;435.868;15274;35.04;97.9;0.601;22.47;98518865.08;80276028.74;34273.12
Pindoretama;2310852;pindoretamense;JOSÉ MARIA MENDES LEITE;74.033;23391;315.95;97.6;0.636;3.72;105261129.07;108094816;13110.66
Piquet Carneiro;2310902;piquetcarneirense;BISMARCK BARROS BEZERRA;589.601;16616;28.18;96;0.6;27.59;87581370.82;84347169;9418.47
Pires Ferreira;2310951;piresferreirense;LÍVIA MARIA MESQUITA MORORO MUNIZ MARQUES;244.464;10606;43.38;96.8;0.591;9.09;55804044.57;52301272.01;7621.25
Poranga;2311009;poranguense;CARLOS ANTONIO RODRIGUES PEREIRA;1310.771;12065;9.2;98.8;0.581;15.87;66869889.98;65041369.19;8852.69
Porteiras;2311108;porteirense;FABIO PINHEIRO CARDOSO;224.86;17050;75.82;97.6;0.622;11.54;90837627.22;89100004.75;12491.62
Potengi;2311207;potengiense;FRANCISCO EDSON VERIATO DA SILVA;343.264;8833;25.73;92.7;0.562;9.71;47605580.63;45551532.26;9903.27
Potiretama;2311231;potiretamense;LUAN DANTAS FELIX;409.137;5974;14.6;98;0.604;25.64;49537743.3;45579690.5;14998.54
Quiterianópolis;2311264;quiterianopolense;FRANCISCA PRISCILLA DUARTE DE FIGUEIREDO;1041.832;20213;19.4;98.5;0.594;13.1;151641468.44;136656907.9;8694.35
Quixadá;2311306;quixadaense;RICARDO JOSÉ ARAÚJO SILVEIRA;2020.586;84168;41.66;95.8;0.659;12.38;344064928.86;356881197.6;12484.6
Quixelô;2311355;quixeloense;JOSE ADIL VIEIRA JUNIOR;605.345;15910;26.28;97.8;0.591;16.95;97221452.61;89876879.88;12336.81
Quixeramobim;2311405;quixeramobinense;CIRILO ANTÔNIO PIMENTA LIMA;3324.987;82177;24.71;96.7;0.642;17.38;345917798.02;373020912.6;17008.8
Quixeré;2311504;quixereense;ANTÔNIO JOAQUIM GONÇALVES DE OLIVEIRA;613.099;20874;34.05;97.5;0.622;7.52;111481580.26;104317720.7;28397.62
Redenção;2311603;redencionista;DAVID SANTA CRUZ BENEVIDES;247.989;27214;109.74;98.1;0.626;16.71;138299718.6;146733848.2;14018.29
Reriutaba;2311702;reriutabense;PEDRO HUMBERTO COELHO MARQUES;372.949;18606;49.89;96.7;0.601;13.27;98902637.66;90191920.38;10433.27
Russas;2311801;russano;SÁVIO GURGEL NOGUEIRA;1611.091;72928;45.27;97.2;0.674;9.91;322448638.86;329736546.9;14563.46
Saboeiro;2311900;saboeirense;MARCONDES HERBSTER FERRAZ;1381.274;13854;10.03;97.1;0.575;;77005575.33;70701775.59;10779.74
Salitre;2311959;salitrense;DORGIVAL PEREIRA FILHO;806.253;16633;20.63;97.3;0.54;15.92;87840144.33;82705965.87;9529.97
Santana do Acaraú;2312007;santanensedoacaraú;FRANCISCO DAS CHAGAS MENDES;972.573;30628;31.49;95.4;0.587;13.59;119878692.31;118116567.4;8525.54
Santana do Cariri;2312106;santanensedocariri;SAMUEL CIDADE WERTON;855.165;16954;19.83;97.9;0.612;8.7;85168059.63;87244682.36;8985.52
Santa Quitéria;2312205;quiteriense;JOSÉ BRAGA BARROZO;4262.293;40183;9.43;97.6;0.616;8.83;186800790.07;170673792.3;14495.07
São Benedito;2312304;beneditense;SAUL LIMA MACIEL;350.847;47640;135.79;98.1;0.611;11.8;198286227.8;184435790.2;12970.59
São Gonçalo do Amarante;2312403;gonçalense;MARCELO FERREIRA TELES;842.635;54143;64.25;98.1;0.665;7.24;630691922.67;530290426.9;175103.17
São João do Jaguaribe;2312502;jaguaribense;RAIMUNDO CESAR MORAIS MAIA;279.451;5855;20.95;99.2;0.654;55.56;40645982.97;37363153.66;14277.9
São Luís do Curu;2312601;curuense;FRANCISCO CIPRIANO DE ALMEIDA;122.865;10822;88.08;95.4;0.62;27.03;51783886.98;47304682.88;10171.88
Senador Pompeu;2312700;pompeuense;ANTÔNIO MAURÍCIO PINHEIRO JUCÁ;956.882;24266;25.36;96.4;0.619;7.52;113346378.89;107156616.8;13859.14
Senador Sá;2312809;senadorsaense;JOSE MARTINS BARROS JUNIOR;424.642;7262;17.1;98.2;0.603;;53144987.82;48778750.17;8090.43
Sobral;2312908;sobralense;IVO FERREIRA GOMES;2068.474;203023;98.15;97.9;0.714;14.05;1193613886.2;1207607747;25396.38
Solonópole;2313005;solonopolense;ANA VLADIA NOGUEIRA PINHEIRO JUCÁ;1535.855;18179;11.84;98.6;0.625;11.83;134053434.71;117844359.7;16492.67
Tabuleiro do Norte;2313104;tabuleirense;RILDSON RABELO VASCONCELOS;1047.637;30652;29.26;97.4;0.645;25.56;129280488.73;117663816.6;14046.37
Tamboril;2313203;tamborilense;LUIZ MARCELO MOTA LEITE;2014.543;24815;12.32;97.1;0.58;20.35;141922121.13;122183242.8;10773.18
Tarrafas;2313252;tarrafense;TERTULIANO CANDIDO MARTINS DE ARAUJO;412.719;7529;18.24;96.8;0.576;12.82;42358029.33;39967381.84;10015.43
Tauá;2313302;tauaense;PATRÍCIA PEQUENO COSTA GOMES DE AGUIAR;4010.618;61227;15.27;97.7;0.633;14.16;426678399.96;389606807.1;12012.28
Tejuçuoca;2313351;tejuçuoquense;JOSE ANTUNIZIO DE BRITO;758.707;17154;22.61;98.3;0.584;4.46;118160184.92;110738009.7;7006.68
Tianguá;2313401;tianguaense;LUIZ MENEZES DE LIMA;909.853;81506;89.58;98;0.657;12.53;369604561.75;353465695.6;22470.08
Trairi;2313500;trairiense;CARLOS GUSTAVO MONTEIRO MOREIRA;928.725;58415;62.9;98.1;0.606;12.18;256908426.49;239286455.6;19683.75
